6:1	Da|when sich|themselves aber|but die|the Menschen|men begannen|began zu|to mehren|multiply auf|upon Erden|earth und|and ihnen|to-them Töchter|daughters geboren|born wurden|were
6:2	da|then sahen|saw die|the Kinder|sons Gottes|of-God nach|at den|the Töchtern|daughters der|of-the Menschen|men wie|how sie|they schön|beautiful waren|were und|and nahmen|took zu|as Weibern|wives welche|whichever sie|they wollten|wanted
6:3	Da|then sprach|spoke der|the HERR|LORD Die|the Menschen|men wollen|want sich|themselves von|by meinem|my Geist|Spirit nicht|not mehr|forever strafen|be-judged lassen|let denn|for sie|they sind|are Fleisch|flesh Ich|I will|will ihnen|them noch|yet Frist|time geben|give hundertundzwanzig|one-hundred-twenty Jahre|years
6:4	Es|there waren|were auch|also zu|in den|those Zeiten|days Tyrannen|giants auf|on Erden|earth denn|when da|when die|the Kinder|sons Gottes|of-God zu|to den|the Töchtern|daughters der|of-the Menschen|men eingingen|went-in und|and sie|they ihnen|them Kinder|children gebaren|bore wurden|became daraus|from-them Gewaltige|mighty-ones in|in der|the Welt|world und|and berühmte|famous Männer|men
6:5	Da|when aber|but der|the HERR|LORD sah|saw daß|that der|the Menschen|men Bosheit|wickedness groß|great war|was auf|on Erden|earth und|and alles|every Dichten|imagination und|and Trachten|thought ihres|of-their Herzens|heart nur|only böse|evil war|was immerdar|continually
6:6	da|then reute|regretted es|it ihn|him daß|that er|he die|the Menschen|man gemacht|made hatte|had auf|on Erden|earth und|and es|it bekümmerte|grieved ihn|him in|in seinem|his Herzen|heart
6:7	und|and er|he sprach|spoke Ich|I will|will die|the Menschen|man die|whom ich|I gemacht|made habe|have vertilgen|blot-out von|from der|the Erde|earth vom|from Menschen|man an|to bis|up-to auf|to das|the Vieh|livestock und|and bis|and auf|the das|the Gewürm|creeping-things und|and bis|and auf|the die|the Vögel|birds unter|under dem|the Himmel|heaven denn|for es|it reut|regret mich|me daß|that ich|I sie|them gemacht|made habe|have
6:8	Aber|but Noah|Noah fand|found Gnade|favor vor|in-the-eyes dem|of-the HERRN|LORD
6:9	Dies|these ist|are das|the Geschlecht|generations Noahs|of-Noah Noah|Noah war|was ein|a frommer|righteous Mann|man und|and ohne|blameless Tadel|blameless und|and führte|walked ein|with göttliches|God Leben|walked zu|in seinen|his Zeiten|generation
6:10	und|and zeugte|fathered drei|three Söhne|sons Sem|Shem Ham|Ham und|and Japheth|Japheth
6:11	Aber|now die|the Erde|earth war|was verderbt|corrupt vor|before Gottes|God Augen|eyes und|and voll|filled-with Frevels|violence
6:12	Da|and sah|saw Gott|God auf|at die|the Erde|earth und|and siehe|behold sie|it war|was verderbt|corrupt denn|for alles|all Fleisch|flesh hatte|had seinen|its Weg|way verderbt|corrupted auf|upon Erden|earth
6:13	Da|and sprach|said Gott|God zu|to Noah|Noah Alles|the Fleisches|of-all-flesh Ende|end ist|has vor|come-before mich|me gekommen|come denn|for die|the Erde|earth ist|is voll|filled-with Frevels|violence von|because-of ihnen|them und|and siehe|behold da|behold ich|I will|will sie|them verderben|destroy mit|with der|the Erde|earth
