1:1	Sintemal|forasmuch sich|himself s|go about viele|many unterwunden|ventured haben|go about Bericht|declaration zu|to geben|give von|of den|the Geschichten|thing so|then unter|by uns|us ergangen|happened sind|most surely believe
1:2	wie|as uns|us das|the gegeben|given haben|deliver die|which es|it von|from Anfang|beginning selbst|itself gesehen|seen und|also Diener|officer des|of-the Worts|word gewesen|been sind|be
1:3	habe|have ich|I s|I auch|also für|for gut|good angesehen|think nachdem|afterward ich|I s|IT alles|all von|from Anbeginn|BEGINNING mit|with Fleiß|DILIGENCE erkundet|INVESTIGATED habe|follow daß|that ich|I s|IT dir|thee mein|my guter|most excellent Theophilus|Theophilus in|in Ordnung|ORDER schriebe|write
1:4	auf|on das|that du|you gewissen|CERTAIN Grund|GROUND erfahrest|know der|of Lehre|word in|in welcher|which du|you unterrichtet|INSTRUCTED bist|instruct
1:5	Zu|by der|the Zeit|day des|of-the Herodes|Antipas des|of-the Königs|King von|from Judäa|Judaea war|be ein|certain Priester|priest von|of der|the Ordnung|course Abia|ABIJAH mit|with Namen|name Zacharias|Zacharias und|also sein|his Weib|women war|was von|of den|the Töchtern|daughter Aarons|AARON welche|which hieß|name Elisabeth|Elisabeth
1:6	Sie|they waren|was aber|and alle|all beide|both fromm|righteous vor|before Gott|god und|and wandelten|go in|by allen|all Geboten|commandment und|also Satzungen|righteousness des|of-the HERRN|Lord untadelig|BLAMELESS
1:7	Und|also sie|they hatten|was kein|no Kind|child denn|because Elisabeth|Elisabeth war|was unfruchtbar|barren und|also waren|was beide|both wohl|to go forwards betagt|by
1:8	Und|and es|it begab|happened sich|be da|by er|he des|of-the Priesteramtes|PRIESTHOOD pflegte|execute the priest' s office vor|before Gott|god zur|by Zeit|order seiner|his Ordnung|course
1:9	nach|after Gewohnheit|custom des|of-the Priestertums|office of thepriesthood und|and an|to ihm|him war|obtain daß|that er|he räuchern|BURN-INCENSE sollte|burn incense ging|enter er|he in|into den|the Tempel|temple des|of-the HERRN|Lord
1:10	Und|also die|the ganze|all Menge|multitude des|of-the Volks|people war|was draußen|without und|and betete|pray unter|under der|the Stunde|hour des|of-the Räucherns|incense
1:11	Es|it erschien|see ihm|him aber|and der|the Engel|angel des|of-the HERRN|Lord und|and stand|stand zur|of rechten|right Hand|hand am|on-the Räucheraltar|altar
1:12	Und|also als|when Zacharias|Zacharias ihn|him sah|know erschrak|trouble er|he und|also es|it kam|fall ihn|him eine|a Furcht|fear an|on
1:13	Aber|and der|the Engel|angel sprach|say zu|unto ihm|him Fürchte|fear dich|fear nicht|not Zacharias|Zacharias denn|because dein|thy Gebet|prayer ist|is erhört|hear und|also dein|thy Weib|women Elisabeth|Elisabeth wird|will dir|thee einen|a Sohn|son gebären|begat des|of-the Namen|name sollst|shall du|you Johannes|John heißen|call
1:14	Und|also du|thee wirst|be des|of-the Freude|joy und|also Wonne|GLADNESS haben|be und|also viele|many werden|be sich|on seiner|his Geburt|birth freuen|rejoice
1:15	Denn|and er|he wird|will groß|great sein|be vor|before dem|the HERRN|Lord Wein|wine und|also starkes|STRONG Getränk|strong drink wird|drink er|he nicht|also trinken|drink und|also wird|will noch|yet im|of Mutterleibe|mother erfüllt|fill werden|fill mit|with dem|the heiligen|HOLY Geist|Spirit
